"glacier1","date1","plot1","date2","plot2","Plot1","Plot2","beta.bact","time_diff","beta.coll","beta.euka.uni","beta.euka.animals","beta.fung","beta.inse","beta.olig","beta.sper","beta.all.ani"
"adigi",1765,"a",1765,"b","adigi_1765_b","adigi_1765_a",0.823529411764706,0,1,0.636363636363636,0.75,0.692307692307692,0.818181818181818,0.333333333333333,0.722222222222222,0.818181818181818
"adigi",1765,"a",1765,"c","adigi_1765_c","adigi_1765_a",0.89922480620155,0,1,0.666666666666667,0.875,0.752688172043011,0.888888888888889,0.666666666666667,0.363636363636364,0.88
"adigi",1765,"a",1765,"d","adigi_1765_d","adigi_1765_a",0.678571428571429,0,1,0.5,0.75,0.673469387755102,0.75,0.333333333333333,0.416666666666667,0.769230769230769
"adigi",1765,"a",1765,"e","adigi_1765_e","adigi_1765_a",0.583333333333333,0,1,0.428571428571429,0.75,0.654867256637168,0.833333333333333,0.333333333333333,0.5,0.782608695652174
"adigi",1765,"a",1949,"a","adigi_1949_a","adigi_1765_a",0.9,184,1,0.625,1,0.842592592592593,0.941176470588235,1,0.928571428571429,0.966666666666667
"adigi",1765,"a",1949,"b","adigi_1949_b","adigi_1765_a",0.91304347826087,184,1,0.714285714285714,0.875,0.867256637168142,1,1,1,0.96551724137931
"adigi",1765,"a",1949,"c","adigi_1949_c","adigi_1765_a",0.918918918918919,184,1,0.75,0.777777777777778,0.857142857142857,1,1,1,0.923076923076923
"adigi",1765,"a",1949,"d","adigi_1949_d","adigi_1765_a",0.925925925925926,184,1,0.5,0.857142857142857,0.836206896551724,1,1,1,0.96551724137931
"adigi",1765,"a",1949,"e","adigi_1949_e","adigi_1765_a",0.923076923076923,184,1,0.666666666666667,0.875,0.862745098039216,1,1,1,0.96551724137931
"adigi",1765,"a",1963,"a","adigi_1963_a","adigi_1765_a",0.96,198,1,0.818181818181818,1,0.9875,1,1,1,1
"adigi",1765,"a",1963,"b","adigi_1963_b","adigi_1765_a",0.96,198,1,0.75,0.833333333333333,0.965116279069767,1,1,1,0.95
"adigi",1765,"a",1963,"c","adigi_1963_c","adigi_1765_a",0.954545454545455,198,1,0.777777777777778,0.833333333333333,1,1,1,1,0.933333333333333
"adigi",1765,"a",1963,"d","adigi_1963_d","adigi_1765_a",0.9375,198,1,0.571428571428571,1,0.951219512195122,1,1,1,1
"adigi",1765,"a",1963,"e","adigi_1963_e","adigi_1765_a",0.958904109589041,198,1,0.571428571428571,1,1,1,1,1,1
"adigi",1765,"a",1981,"a","adigi_1981_a","adigi_1765_a",0.894736842105263,216,1,0.769230769230769,0.75,0.918604651162791,1,1,1,0.928571428571429
"adigi",1765,"a",1981,"b","adigi_1981_b","adigi_1765_a",0.904109589041096,216,1,0.7,0.833333333333333,0.872340425531915,1,1,1,0.947368421052632
"adigi",1765,"a",1981,"c","adigi_1981_c","adigi_1765_a",0.966666666666667,216,1,0.8,0.75,0.927710843373494,1,1,1,0.9375
"adigi",1765,"a",1981,"d","adigi_1981_d","adigi_1765_a",0.929577464788732,216,1,0.833333333333333,1,0.890243902439024,1,1,1,1
"adigi",1765,"a",1981,"e","adigi_1981_e","adigi_1765_a",0.882352941176471,216,1,0.5,0.75,0.89247311827957,1,1,1,0.923076923076923
