Glacier	Year	Plot	code	lon	lat	time_retreat	ph1	c	n	p	ph	lg_n	lg_p	lg_time	ph.s	time.s	n.s	p.s
agola	1850	a	agola_1850_a1	10.85093	46.15404	168	8.43	12.52184582	0	2697.916013	8.43	-4.605170186	7.900234907	5.123963979	1.505576837	1.042699503	-0.971209888	0.065858138
agola	1850	b	agola_1850_b1	10.85075	46.15408	168	8.43	12.62933064	0.038210567	3515.145581	8.43	-3.032177048	8.16483622	5.123963979	1.505576837	1.042699503	0.304588912	0.245316314
agola	1850	c	agola_1850_c1	10.85049	46.15407	168	8.54	12.53376102	0	1209.432739	8.54	-4.605170186	7.097906718	5.123963979	1.597196944	1.042699503	-0.971209888	-0.478297713
agola	1850	d	agola_1850_d1	10.85027	46.15406	168	8.49	12.56068325	0.021727243	1192.202883	8.49	-3.450579553	7.083558037	5.123963979	1.555551441	1.042699503	-0.034762482	-0.48802929
agola	1850	e	agola_1850_e1	10.85013	46.15395	168	8.21	12.7024107	0.040291604	3312.939984	8.21	-2.989917141	8.105591287	5.123963979	1.322336624	1.042699503	0.33886442	0.205135154
agola	1908	a	agola_1908_a1	10.85208	46.15328	110	8.69	12.5786	0.033	729.7244975	8.69	-3.146555163	6.592667062	4.700480366	1.722133453	0.665549899	0.21182089	-0.820961872
agola	1908	b	agola_1908_b1	10.85183	46.15321	110	8.65	12.6659	0.0308	1328.172851	8.65	-3.199073198	7.191559481	4.700480366	1.68881705	0.665549899	0.16922538	-0.414780439
agola	1908	c	agola_1908_c1	10.85158	46.15313	110	8.58	12.6251	0	865.6249705	8.58	-4.605170186	6.763451755	4.700480366	1.630513346	0.665549899	-0.971209888	-0.705132102
agola	1908	d	agola_1908_d1	10.85152	46.15299	110	8.34	12.7376	0.0321	780.2603356	8.34	-3.167707538	6.659627628	4.700480366	1.430614932	0.665549899	0.194664951	-0.775547809
agola	1908	e	agola_1908_e1	10.85138	46.15282	110	8.49	12.7299	0.0191	447.3126521	8.49	-3.537017105	6.103257795	4.700480366	1.555551441	0.665549899	-0.104868907	-1.152889529
agola	1973	a	agola_1973_a1	10.85676	46.1524	45	8.64	12.5314	0.0351	804.8035387	8.64	-3.098873032	6.690598196	3.80666249	1.68048795	-0.130473954	0.250494171	-0.754542918
agola	1973	b	agola_1973_b1	10.85699	46.15237	45	8.69	12.5321	0.0304	1987.088959	8.69	-3.208925494	7.594426012	3.80666249	1.722133453	-0.130473954	0.161234532	-0.141547885
agola	1973	c	agola_1973_c1	10.85691	46.15254	45	8.68	12.3938	0.0122	1401.344164	8.68	-3.80766299	7.245187172	3.80666249	1.713804352	-0.130473954	-0.32438016	-0.378409011
agola	1973	d	agola_1973_d1	10.85674	46.15248	45	8.77	12.4933	0	1275.87673	8.77	-4.605170186	7.151388853	3.80666249	1.788766258	-0.130473954	-0.971209888	-0.442025004
