plot,Glacier,glacier_name,site,Year,Plot,lon,lat,sampling,sper.q1,bact.q1,coll.q1,olig.q1,inse.q1,euka.uni.q1,euka.ani.q1,fung.q1,sper.q0,bact.q0,coll.q0,olig.q0,inse.q0,euka.uni.q0,euka.ani.q0,fung.q0,time,c,n,p,ph,ndvi,twi,mean.temp
adigi_1765_a,adigi,Adigine,adigi_1765,1765,a,74.44867,42.5262,Sep-19,4.841217283,9.727951779,1.929477517,1.017547791,1.357376002,3.924640742,3.595539636,32.28248843,10,13,2,2,3,5,4,71,254,NA,NA,NA,NA,0.432961576,13.00628525,8.608506146
adigi_1765_b,adigi,Adigine,adigi_1765,1765,b,74.44867,42.52631,Sep-19,2.849244611,47.36836786,4.227761934,1.545007168,6.549930375,6.091367099,5.084914793,12.7360784,13,67,9,3,10,10,6,65,254,NA,NA,NA,NA,0.427361755,13.06132066,8.641041443
adigi_1765_c,adigi,Adigine,adigi_1765,1765,c,74.44877,42.52644,Sep-19,2.878854688,70.29298832,1.03066415,1.867664515,2.897054718,8.636041436,4.378565037,7.301668304,8,129,3,2,7,15,5,45,254,NA,NA,NA,NA,0.43690898,13.06132066,8.641041443
adigi_1765_d,adigi,Adigine,adigi_1765,1765,d,74.4485,42.52663,Sep-19,5.312051906,18.97815269,3.374032669,2.142917809,3.713285938,4.92520896,5.528409117,34.00912115,9,24,5,3,7,7,6,59,254,NA,NA,NA,NA,0.195755665,12.43146175,8.600343127
adigi_1765_e,adigi,Adigine,adigi_1765,1765,e,74.44912,42.52672,Sep-19,6.046284036,15.94141684,1.745505532,2.471689521,1.800357922,4.140191175,4.739465799,28.11741988,8,21,4,3,4,6,6,81,254,NA,NA,NA,NA,0.396261607,12.5057243,8.681249799
adigi_1949_a,adigi,Adigine,adigi_1949,1949,a,74.444223,42.51873,Sep-19,2.54414295,54.51249509,1,1,2.642534631,4.026310713,3.420393845,14.70420111,5,86,1,0,15,6,4,54,70,NA,NA,NA,NA,0.148474517,10.45796253,8.4735533
adigi_1949_b,adigi,Adigine,adigi_1949,1949,b,74.44432,42.51887,Sep-19,1.502303648,29.01569565,2.013619486,1,3.548753639,3.041950585,4.193242789,23.98474089,2,37,5,0,9,4,5,57,70,NA,NA,NA,NA,0.127495205,11.41123333,8.511055303
adigi_1949_c,adigi,Adigine,adigi_1949,1949,c,74.4444,42.51902,Sep-19,1.822743412,21.46793152,1,1,2.254402247,4.619044498,4.165123809,20.01531233,3,27,0,0,10,5,7,57,70,NA,NA,NA,NA,0.133962342,9.303928627,8.526153517
adigi_1949_d,adigi,Adigine,adigi_1949,1949,d,74.4448,42.51916,Sep-19,1,13.75027948,1.266538631,1,6.290776781,3.577789524,3.295613542,25.97854978,1,16,3,0,12,4,4,64,70,NA,NA,NA,NA,0.119184259,10.21508429,7.17498217
adigi_1949_e,adigi,Adigine,adigi_1949,1949,e,74.44409,42.51852,Sep-19,2.22554817,22.58840253,2.799406063,1,3.494580131,4.742847728,4.63136299,22.21972481,4,29,6,0,8,7,5,45,70,NA,NA,NA,NA,0.115604332,10.31583838,8.425263524
