sample_old,Moraine,glaci,Dating,Glacier,Time,lon,lat,bio10_m,bio18_m
Adigine-1765,adigi_1765,adigi,1765,Adigine,254,74.448746,42.52646,55.4,147.8
Adigine-1949,adigi_1949,adigi,1949,Adigine,70,74.4443666,42.51886,55.4,147.8
Adigine-1963,adigi_1963,adigi,1963,Adigine,56,74.4378634,42.5133264,55.4,147.8
Adigine-1981,adigi_1981,adigi,1981,Adigine,38,74.4370749,42.510464,55.4,147.8
Adigine-2010,adigi_2010,adigi,2010,Adigine,9,74.436876,42.507711,55.4,147.8
Agola-1850,agola_1850,agola,1850,Agola,168,10.850514,46.15404,76,470
Agola-1908,agola_1908,agola,1908,Agola,110,10.851678,46.153086,76,470
Agola-1973,agola_1973,agola,1973,Agola,45,10.85685,46.1524475,76,470
Agola-1994,agola_1994,agola,1994,Agola,24,10.857186,46.151934,76,470
Agola-2003,agola_2003,agola,2003,Agola,15,10.857645,46.151975,76,470
Agola-2017,agola_2017,agola,2017,Agola,1,10.85804667,46.15180167,76,470
Amola-1850,amola_1850,amola,1850,Amola,168,10.7035462,46.2133708,78.66666667,328.3333333
Amola-1925,amola_1925,amola,1925,Amola,93,10.7009174,46.214792,78.66666667,328.3333333
,amola_2000,amola,2000,Amola,12,,,78.66666667,328.3333333
Amola-2003,amola_2003,amola,2003,Amola,15,10.6942406,46.2167408,78.66666667,328.3333333
,amola_2004,amola,2004,Amola,14,,,78.66666667,328.3333333
,amola_2006,amola,2006,Amola,12,,,78.66666667,328.3333333
,amola_2008,amola,2008,Amola,10,,,78.66666667,328.3333333
,amola_2010,amola,2010,Amola,8,,,78.66666667,328.3333333
,amola_2012,amola,2012,Amola,6,,,78.66666667,328.3333333
Antisana 12-1730,ant12_1730,ant12,1730,Antisana 12,285,-78.16536,-0.49641667,27.66666667,340.8333333
Antisana 12-1830,ant12_1830,ant12,1830,Antisana 12,185,-78.16481,-0.49551,27.66666667,340.8333333
Antisana 12-1956,ant12_1956,ant12,1956,Antisana 12,59,-78.16255333,-0.49535333,27.66666667,340.8333333
Antisana 12-1979,ant12_1979,ant12,1979,Antisana 12,36,-78.16153,-0.49485667,27.66666667,340.8333333
Antisana 12-1997,ant12_1997,ant12,1997,Antisana 12,18,-78.16044147,-0.49515927,27.66666667,340.8333333
Antisana 12-2003,ant12_2003,ant12,2003,Antisana 12,12,-78.15946,-0.49515667,27.66666667,340.8333333
Antisana 15-1730,ant15_1730,ant15,1730,Antisana 15,285,-78.15880067,-0.47258119,24.66666667,389.3333333
Antisana 15-1830,ant15_1830,ant15,1830,Antisana 15,185,-78.15828848,-0.47189987,24.66666667,389.3333333
Antisana 15-1956,ant15_1956,ant15,1956,Antisana 15,59,-78.15491694,-0.47123667,24.66666667,389.3333333
Antisana 15-1979,ant15_1979,ant15,1979,Antisana 15,36,-78.15531408,-0.47281039,24.66666667,389.3333333
Antisana 15-1991,ant15_1991,ant15,1991,Antisana 15,24,-78.15337524,-0.47321756,24.66666667,389.3333333
Antisana 15-1997,ant15_1997,ant15,1997,Antisana 15,18,-78.15326475,-0.47423053,24.66666667,389.3333333
Bara Shigri-1865,baras_1865,baras,1865,Bara Shigri,154,77.5816898,32.3057162,91.83333333,189.8333333
Bara Shigri-1905,baras_1905,baras,1905,Bara Shigri,114,77.5820938,32.300886,91.83333333,189.8333333
Bara Shigri-1965,baras_1965,baras,1965,Bara Shigri,54,77.5915706,32.2815288,91.83333333,189.8333333
Bara Shigri-1989,baras_1989,baras,1989,Bara Shigri,30,77.5874,32.2747744,91.83333333,189.8333333
Bara Shigri-1998,baras_1998,baras,1998,Bara Shigri,21,77.586185,32.273261,91.83333333,189.8333333
Bara Shigri-2010,baras_2010,baras,2010,Bara Shigri,9,77.585369,32.271587,91.83333333,189.8333333
Broggi-1625,brogg_1625,brogg,1625,Broggi,395,-77.60093978,-9.01273959,39.8,325.4
Broggi-1948,brogg_1948,brogg,1948,Broggi,72,-77.59094659,-9.0056862,39.8,325.4
Broggi-1968,brogg_1968,brogg,1968,Broggi,52,-77.588648,-9.00502941,39.8,325.4
Broggi-1988,brogg_1988,brogg,1988,Broggi,32,-77.58712779,-9.00317959,39.8,325.4
Broggi-2008,brogg_2008,brogg,2008,Broggi,12,-77.5836172,-9.00180382,39.8,325.4
Carihuairazo-1956,carih_1956,carih,1956,Carihuairazo,59,-78.7592252,-1.4109818,27,326
Carihuairazo-1991,carih_1991,carih,1991,Carihuairazo,24,-78.7576254,-1.408298,27,326
