uniqPlot;swrad_m1;swrad_m2;swrad_m3;swrad_m4;swrad_m5;swrad_m6;swrad_m7;swrad_m8;swrad_m9;swrad_m10;swrad_m11;swrad_m12;elev;slope;aspect
agola_1850_a;NA;NA;NA;NA;12.53259659;15.42149544;15.42439461;13.55492687;10.05369854;7.036408424;3.461463928;2.570268869;2506.296457;20.84787479;259.696444
agola_1850_b;NA;NA;NA;NA;12.53259659;15.42149544;15.42439461;13.55492687;10.05369854;7.036408424;3.461463928;2.570268869;2506.296457;20.84787479;259.696444
agola_1850_c;NA;NA;NA;NA;12.50732613;15.40648365;15.41104412;13.52819824;10.02633095;7.00127697;3.437744379;2.518932343;2494.634757;19.92891661;266.5326849
agola_1850_d;NA;NA;NA;NA;12.50732613;15.40648365;15.41104412;13.52819824;10.02633095;7.00127697;3.437744379;2.518932343;2494.634757;19.92891661;266.5326849
agola_1850_e;NA;NA;NA;NA;12.42789268;15.30270958;15.30465698;13.42340851;9.950158119;6.939528942;3.409832239;2.472867012;2484.467358;20.65415915;272.4307601
agola_1908_a;NA;NA;NA;NA;12.84393406;15.81735039;15.82958412;13.94455528;10.3518219;7.263273716;NA;NA;2530.51252;17.61211203;241.0549957
agola_1908_b;NA;NA;NA;NA;12.84393406;15.81735039;15.82958412;13.94455528;10.3518219;7.263273716;NA;NA;2530.51252;17.61211203;241.0549957
agola_1908_c;NA;NA;NA;NA;12.85365772;15.84350204;15.85782146;13.96104908;10.35783863;7.257475376;NA;NA;2523.786406;16.1075847;242.5793403
agola_1908_d;NA;NA;NA;NA;12.85938358;15.85807705;15.87446213;13.97584724;10.36445141;7.260615349;NA;NA;2517.548077;16.11850571;236.6787435
agola_1908_e;NA;NA;NA;NA;12.85938358;15.85807705;15.87446213;13.97584724;10.36445141;7.260615349;NA;NA;2517.548077;16.11850571;236.6787435
agola_1973_a;NA;NA;NA;NA;NA;15.37110901;15.39139843;13.46653461;9.921138763;6.865749836;NA;NA;2584.899401;12.07482003;289.4619755
agola_1973_b;NA;NA;NA;NA;NA;15.33983421;15.35293865;13.46361732;9.936441422;6.91748476;NA;NA;2592.349296;14.17310996;265.530484
agola_1973_c;NA;NA;NA;NA;NA;15.15709972;15.15017891;13.37899876;9.929598808;7.014323235;NA;NA;2594.870676;23.80516529;231.7350255
agola_1973_d;NA;NA;NA;NA;NA;15.313941;15.31761456;13.49679661;9.989261627;7.018286705;NA;NA;2586.177628;18.74720459;235.9428922
agola_1994_a;NA;NA;NA;NA;NA;15.24843407;15.28585529;13.32281494;9.789385796;6.712947845;NA;NA;2598.641584;13.63747525;333.3914012
agola_1994_b;NA;NA;NA;NA;NA;15.24843407;15.28585529;13.32281494;9.789385796;6.712947845;NA;NA;2598.641584;13.63747525;333.3914012
